Data;4380 - PIB mensal - Valores correntes (R$ milhões) - Variação Percentual
01/2015;-5,3
02/2015;-1,6
03/2015;10,4
04/2015;-3,6
05/2015;-1,0
06/2015;-0,4
07/2015;3,4
08/2015;-1,1
09/2015;-0,3
10/2015;4,3
11/2015;-1,5
12/2015;0,5
01/2016;-6,6
02/2016;1,8
03/2016;7,7
04/2016;-1,4
05/2016;-0,8
06/2016;1,0
07/2016;0,1
08/2016;1,7
09/2016;-1,2
10/2016;2,9
11/2016;1,2
12/2016;0,2
01/2017;-6,1
02/2017;-0,5
03/2017;9,8
04/2017;-4,2
05/2017;2,5
06/2017;-1,6
07/2017;1,2
08/2017;1,4
09/2017;-2,1
10/2017;4,5
11/2017;0,9
12/2017;0,6
01/2018;-4,3
02/2018;-2,3
03/2018;9,2
04/2018;-0,3
05/2018;-4,4
06/2018;4,0
07/2018;1,4
08/2018;1,2
09/2018;-3,8
10/2018;6,2
11/2018;-0,7
12/2018;-1,2
01/2019;-3,6
02/2019;-0,3
03/2019;4,5
04/2019;1,9
05/2019;0,4
06/2019;-3,0
07/2019;5,8
08/2019;-0,4
09/2019;-1,7
10/2019;5,0
11/2019;-1,9
12/2019;-0,5
01/2020;-4,0
02/2020;0,3
03/2020;2,6
04/2020;-10,8
05/2020;1,6
06/2020;5,0
07/2020;5,8
08/2020;-1,1
09/2020;1,7
10/2020;4,1
11/2020;0,8
12/2020;3,1
01/2021;-4,7
02/2021;3,4
03/2021;8,8
04/2021;-3,1
05/2021;-0,2
06/2021;0,5
07/2021;4,1
08/2021;-0,5
09/2021;-1,6
10/2021;0,4
11/2021;2,5
12/2021;3,0
Fonte;BCB-Depec
