Data;13522 - Índice nacional de preços ao consumidor - amplo (IPCA) - em 12 meses - %
01/2015;7,14
02/2015;7,70
03/2015;8,13
04/2015;8,17
05/2015;8,47
06/2015;8,89
07/2015;9,56
08/2015;9,53
09/2015;9,49
10/2015;9,93
11/2015;10,48
12/2015;10,67
01/2016;10,71
02/2016;10,36
03/2016;9,39
04/2016;9,28
05/2016;9,32
06/2016;8,84
07/2016;8,74
08/2016;8,97
09/2016;8,48
10/2016;7,87
11/2016;6,99
12/2016;6,29
01/2017;5,35
02/2017;4,76
03/2017;4,57
04/2017;4,08
05/2017;3,60
06/2017;3,00
07/2017;2,71
08/2017;2,46
09/2017;2,54
10/2017;2,70
11/2017;2,80
12/2017;2,95
01/2018;2,86
02/2018;2,84
03/2018;2,68
04/2018;2,76
05/2018;2,86
06/2018;4,39
07/2018;4,48
08/2018;4,19
09/2018;4,53
10/2018;4,56
11/2018;4,05
12/2018;3,75
01/2019;3,78
02/2019;3,89
03/2019;4,58
04/2019;4,94
05/2019;4,66
06/2019;3,37
07/2019;3,22
08/2019;3,43
09/2019;2,89
10/2019;2,54
11/2019;3,27
12/2019;4,31
01/2020;4,19
02/2020;4,01
03/2020;3,30
04/2020;2,40
05/2020;1,88
06/2020;2,13
07/2020;2,31
08/2020;2,44
09/2020;3,14
10/2020;3,92
11/2020;4,31
12/2020;4,52
01/2021;4,56
02/2021;5,20
03/2021;6,10
04/2021;6,76
05/2021;8,06
06/2021;8,35
07/2021;8,99
08/2021;9,68
09/2021;10,25
10/2021;10,67
11/2021;10,74
12/2021;10,06
Fonte;IBGE
