Data;3698 - Taxa de câmbio - Livre - Dólar americano (venda) - Média de período - mensal - u.m.c./US$
01/2015;2,6342
02/2015;2,8165
03/2015;3,1395
04/2015;3,0432
05/2015;3,0617
06/2015;3,1117
07/2015;3,2231
08/2015;3,5143
09/2015;3,9065
10/2015;3,8801
11/2015;3,7765
12/2015;3,8711
01/2016;4,0524
02/2016;3,9737
03/2016;3,7039
04/2016;3,5658
05/2016;3,5393
06/2016;3,4245
07/2016;3,2756
08/2016;3,2097
09/2016;3,2564
10/2016;3,1858
11/2016;3,3420
12/2016;3,3523
01/2017;3,1966
02/2017;3,1042
03/2017;3,1279
04/2017;3,1362
05/2017;3,2095
06/2017;3,2954
07/2017;3,2061
08/2017;3,1509
09/2017;3,1348
10/2017;3,1912
11/2017;3,2594
12/2017;3,2919
01/2018;3,2106
02/2018;3,2415
03/2018;3,2792
04/2018;3,4075
05/2018;3,6361
06/2018;3,7732
07/2018;3,8288
08/2018;3,9298
09/2018;4,1165
10/2018;3,7584
11/2018;3,7867
12/2018;3,8851
01/2019;3,7417
02/2019;3,7236
03/2019;3,8465
04/2019;3,8962
05/2019;4,0015
06/2019;3,8588
07/2019;3,7793
08/2019;4,0200
09/2019;4,1215
10/2019;4,0870
11/2019;4,1553
12/2019;4,1096
01/2020;4,1495
02/2020;4,3410
03/2020;4,8839
04/2020;5,3256
05/2020;5,6434
06/2020;5,1966
07/2020;5,2802
08/2020;5,4612
09/2020;5,3995
10/2020;5,6258
11/2020;5,4178
12/2020;5,1456
01/2021;5,3562
02/2021;5,4165
03/2021;5,6461
04/2021;5,5621
05/2021;5,2911
06/2021;5,0319
07/2021;5,1567
08/2021;5,2517
09/2021;5,2797
10/2021;5,5400
11/2021;5,5569
12/2021;5,6514
Fonte;BCB-DSTAT
